序号,收寄省,收寄市,寄达省,寄达市,线路,高德里程,四象限线路类型,线路类别,"特快标准
（T+N）","行业时效产品
80%时限水平（T+N)",特快标准对比行业80%邮件时限水平,特快标准对比行业时限众数,"快包标准
（T+N）","行业非时效产品
80%时限水平（T+N)",快包标准对比行业非时效80%邮件时限水平,快包标准对比行业时限众数,行业线路时限众数,特快经转节点数,行业经转节点数,经转次数差异,"特快专递样本量
（件）",特快主要轨迹,行业主要轨迹,"投递天数差
（特快-行业）","特快专递全程时限
（小时）","特快专递全程时限环比
（11月-10月）
（小时）","行业全程时限
（小时）","行业全程时限环比
（11月-10月）
（小时）",特快专递次日递率,"特快专递次日递率环比
（11月-10月）",行业次日递率,"行业次日递率环比
（11月-10月）","特快专递平均天数T+N
（天）","特快专递平均天数T+N环比
（11月-10月）
（天）","行业平均天数T+N
（天）","行业平均天数T+N环比
（11月-10月）
（天）","特快专递收寄时限
（小时）","特快专递收寄时限环比
（11月-10月）
（小时）","特快专递出口段时限
（小时）","特快专递出口段时限环比
（11月-10月）
（小时）","特快专递中转段时限
（小时）","特快专递中转段时限环比
（11月-10月）
（小时）","特快专递进口段时限
（小时）","特快专递进口段时限环比
（11月-10月）
（小时）","特快专递投递时限
（小时）","特快专递投递时限环比
（11月-10月）
（小时）","行业样本量
（件）","行业收寄时限
（小时）","行业出口段时限
（小时）","行业中转段时限
（小时）","行业进口段时限
（小时）","行业投递时限
（小时）","次日递率差
（排序时限）
（特快-行业）","国家邮政局
50重点城市",长三角,珠三角,环渤海,长珠互寄,东三省,中部四省,川渝,行业2025年9月日均业务量估算值（件）,邮政日均业务量,是否够量市场线路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,安徽省,芜湖市,江苏省,盐城市,芜湖市盐城市,365,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.3 ,2.2 ,1.1 ,"1,173",芜湖市-淮安市-盐城市,芜湖市-盐城市,1.3 ,51.5 ,8.9 ,23.6 ,-1.8 ,0.3%,-37.8%,98.7%,6.6%,T+2.3,0.5 ,T+1.0,-0.1 ,3.6 ,0.4 ,14.0 ,3.2 ,4.9 ,0.6 ,25.0 ,4.3 ,3.9 ,0.2 ,318,3.1 ,5.9 ,6.8 ,5.5 ,2.2 ,-98.4%,,1,,,,,,,500,71,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,安徽省,宿州市,山东省,日照市,宿州市日照市,404,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.4 ,3.6 ,0.8 ,322,宿州市-济南市-青岛市-日照市,宿州市-徐州市-连云港市-日照市,1.4 ,56.6 ,-0.1 ,25.7 ,-3.3 ,0.0%,0.0%,98.4%,20.4%,T+2.5,0.0 ,T+1.0,-0.2 ,6.5 ,-1.0 ,8.8 ,-0.8 ,10.8 ,1.7 ,27.2 ,-0.2 ,3.4 ,0.3 ,62,2.2 ,5.0 ,9.8 ,7.1 ,1.6 ,-98.4%,,,,,,,,,100,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,安徽省,安庆市,河南省,焦作市,安庆市焦作市,812,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.0 ,4.2 ,-0.2 ,"1,664",安庆市-郑州市-焦作市,安庆市-合肥市-漯河市-焦作市,1.2 ,51.9 ,-1.1 ,28.2 ,-2.9 ,1.7%,-0.7%,100.0%,16.7%,T+2.2,0.0 ,T+1.0,-0.2 ,4.7 ,0.4 ,8.8 ,-0.8 ,13.0 ,-0.8 ,22.6 ,-0.1 ,2.8 ,0.1 ,32,4.1 ,8.7 ,6.6 ,7.4 ,1.4 ,-98.3%,,,,,,,,,200,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,广东省,河源市,福建省,漳州市,河源市漳州市,446,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.8 ,2.1 ,2.7 ,70,河源市-广州市-厦门市-漳州市,河源市-漳州市,1.3 ,54.8 ,0.0 ,27.8 ,-0.7 ,0.0%,0.0%,98.0%,9.4%,T+2.3,0.0 ,T+1.0,-0.1 ,3.6 ,-0.6 ,15.5 ,-2.1 ,7.5 ,0.7 ,23.3 ,1.0 ,5.0 ,1.1 ,51,3.9 ,12.4 ,7.1 ,3.1 ,1.4 ,-98.0%,,,,,,,,,100,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,辽宁省,朝阳市,吉林省,辽源市,朝阳市辽源市,470,-,省际,1,1,持平,持平,2,1,落后,落后,1,3.8 ,3.2 ,0.5 ,200,朝阳市-锦州市-长春市-辽源市,朝阳市-沈阳市-辽源市,1.5 ,54.2 ,-1.6 ,23.6 ,-0.6 ,2.5%,-14.3%,100.0%,0.0%,T+2.5,0.0 ,T+1.0,0.0 ,6.3 ,-0.9 ,15.6 ,-6.7 ,10.4 ,1.0 ,19.0 ,5.0 ,2.9 ,0.0 ,31,1.5 ,13.3 ,4.7 ,2.9 ,1.3 ,-97.5%,,,,,,1,,,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,江苏省,连云港市,山东省,潍坊市,连云港市潍坊市,270,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.9 ,2.0 ,1.9 ,"1,829",连云港市-济南市-潍坊市,连云港市-潍坊市,1.1 ,47.9 ,-0.3 ,22.5 ,-0.1 ,2.5%,-0.1%,100.0%,1.3%,T+2.1,0.0 ,T+1.0,0.0 ,1.7 ,-0.2 ,11.3 ,1.5 ,5.8 ,-0.8 ,24.9 ,-0.6 ,4.3 ,-0.1 ,"1,589",2.2 ,4.7 ,6.4 ,6.8 ,2.3 ,-97.5%,,,,,,,,,"2,400",132,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,江苏省,连云港市,山东省,东营市,连云港市东营市,391,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.6 ,2.8 ,0.8 ,239,连云港市-济南市-东营市,连云港市-潍坊市-滨州市-东营市,1.1 ,47.6 ,1.1 ,27.6 ,0.8 ,0.0%,0.0%,97.5%,-0.5%,T+2.1,0.0 ,T+1.0,0.0 ,1.6 ,-0.1 ,10.9 ,0.7 ,5.7 ,-0.5 ,25.8 ,1.5 ,3.6 ,-0.5 ,562,2.4 ,5.0 ,6.7 ,11.6 ,1.9 ,-97.5%,,,,,,,,,800,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,宁夏回族自治区,银川市,陕西省,榆林市,银川市榆林市,412,劣势线路,省际,2,1,落后,落后,2,1,落后,落后,1,4.2 ,2.1 ,2.1 ,518,银川市-西安市-榆林市,银川市-榆林市,1.3 ,54.2 ,-0.1 ,22.0 ,-7.7 ,2.7%,1.7%,100.0%,31.6%,T+2.3,0.0 ,T+1.0,-0.3 ,1.9 ,0.1 ,8.5 ,-0.4 ,8.0 ,0.1 ,30.0 ,0.8 ,5.8 ,-0.7 ,33,2.5 ,7.4 ,5.7 ,3.7 ,2.7 ,-97.3%,,,,,,,,,200,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,安徽省,六安市,江西省,新余市,六安市新余市,574,-,省际,1,1,持平,持平,3,1,落后,落后,1,4.0 ,3.7 ,0.3 ,"1,583",六安市-合肥市-南昌市-新余市,六安市-合肥市-南昌市-宜春市-新余市,1.1 ,52.6 ,-1.3 ,26.8 ,-6.6 ,2.7%,2.3%,100.0%,26.7%,T+2.1,-0.1 ,T+1.0,-0.3 ,2.4 ,0.1 ,16.3 ,0.4 ,7.6 ,-0.5 ,21.6 ,-1.3 ,4.8 ,0.2 ,34,2.6 ,7.2 ,6.9 ,8.2 ,2.0 ,-97.3%,,,,,,,,,50,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,广东省,湛江市,海南省,海口市,湛江市海口市,190,-,省际,2,1,落后,落后,2,1,落后,落后,1,3.1 ,2.2 ,0.9 ,"1,143",湛江市-海口市,湛江市-海口市,1.1 ,50.6 ,-5.8 ,25.4 ,-7.2 ,1.3%,0.0%,98.5%,30.9%,T+2.2,-0.2 ,T+1.0,-0.4 ,2.6 ,0.1 ,21.7 ,-4.7 ,9.1 ,-0.5 ,10.3 ,-0.5 ,6.9 ,-0.3 ,134,2.8 ,7.8 ,7.5 ,5.6 ,1.9 ,-97.2%,,,,,,,,,500,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,河南省,信阳市,湖南省,岳阳市,信阳市岳阳市,410,-,省际,1,1,持平,持平,2,1,落后,落后,1,5.5 ,3.2 ,2.3 ,69,信阳市-驻马店市-长沙市-岳阳市,信阳市-武汉市-岳阳市,1.9 ,66.6 ,-1.6 ,23.1 ,-8.3 ,2.9%,1.0%,100.0%,27.9%,T+2.9,-0.1 ,T+1.0,-0.3 ,6.8 ,-1.5 ,20.7 ,-3.6 ,10.2 ,-1.4 ,25.9 ,6.1 ,3.0 ,-1.2 ,42,2.0 ,2.2 ,13.1 ,4.0 ,1.8 ,-97.1%,,,,,,,1,,100,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,福建省,龙岩市,广东省,汕尾市,龙岩市汕尾市,423,-,省际,2,1,落后,落后,2,1,落后,落后,1,4.7 ,3.8 ,0.9 ,338,龙岩市-厦门市-南京市-广州市-汕尾市,龙岩市-厦门市-揭阳市-汕尾市,1.0 ,48.3 ,-2.2 ,27.7 ,-0.4 ,0.0%,0.0%,97.1%,-0.5%,T+2.1,0.0 ,T+1.0,0.0 ,1.8 ,0.0 ,8.6 ,-4.1 ,9.1 ,1.6 ,23.9 ,0.4 ,4.9 ,-0.1 ,35,3.8 ,9.5 ,4.5 ,7.7 ,2.2 ,-97.1%,,,,,,,,,100,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,吉林省,松原市,辽宁省,大连市,松原市大连市,846,劣势线路,省际,1,1,持平,持平,2,1,落后,落后,1,3.4 ,3.1 ,0.3 ,540,松原市-哈尔滨市-大连市,松原市-长春市-大连市,1.3 ,53.8 ,-2.3 ,24.7 ,-1.1 ,0.9%,-1.3%,98.0%,1.5%,T+2.3,-0.1 ,T+1.0,0.0 ,6.4 ,-0.5 ,9.9 ,-0.8 ,14.8 ,4.2 ,18.3 ,-5.3 ,4.5 ,0.3 ,250,1.6 ,9.3 ,9.3 ,3.1 ,1.5 ,-97.1%,,,,,,1,,,300,27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,湖北省,黄冈市,河南省,焦作市,黄冈市焦作市,661,-,省际,1,1,持平,持平,2,1,落后,落后,1,4.0 ,3.3 ,0.7 ,482,黄冈市-武汉市-洛阳市-焦作市,黄冈市-武汉市-漯河市-焦作市,1.5 ,58.1 ,2.1 ,26.3 ,-2.8 ,0.6%,0.6%,97.6%,15.4%,T+2.5,0.1 ,T+1.0,-0.2 ,7.3 ,1.2 ,19.1 ,0.3 ,9.4 ,-0.5 ,19.1 ,0.7 ,3.2 ,0.4 ,42,3.5 ,6.2 ,6.6 ,8.5 ,1.5 ,-97.0%,,,,,,,1,,100,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
